,price,rating,brand,ram,ssd_storage,color,processor
168,55780.0,,Hp,16,512,Silver,Amd
169,334990.0,4.3,Asus,128,1024,Black,Amd
170,531490.0,4.5,Alienware,24,2048,Unknown,Intel
171,290000.0,5.0,Lenovo,32,1024,Gray,Intel
172,69990.0,3.2,Hp,16,512,Silver,Snapdragon
173,342490.0,4.6,Apple,24,2048,Silver,Unknown
174,194990.0,4.8,Apple,24,1024,Unknown,Unknown
175,68990.0,5.0,Hp,16,512,Silver,Intel
176,124900.0,5.0,Lenovo,16,512,Black,Intel
177,73990.0,4.7,Apple,8,256,Silver,Unknown
178,73990.0,4.8,Apple,8,256,Indigo,Unknown
179,69990.0,3.9,Acer,16,512,Gray,Intel
180,41890.0,1.6,Acer,8,512,Black,Amd
181,64390.0,3.8,Acer,16,512,Silver,Intel
182,342490.0,4.5,Apple,24,1024,Silver,Unknown
183,82990.0,3.8,Hp,16,1024,Silver,Intel
184,89890.0,3.7,Lenovo,16,512,Gray,Intel
185,200490.0,4.7,Apple,16,1024,Silver,Unknown
186,68490.0,3.9,Lenovo,16,512,Gray,Amd
187,165000.0,4.3,Lenovo,8,1024,Gray,Intel
188,87990.0,4.7,Asus,4,512,Black,Amd
189,194990.0,4.8,Apple,24,1024,Blue,Unknown
190,141990.0,5.0,Dell,16,512,White,Intel
191,51790.0,3.4,Dell,16,512,Black,Amd
192,43490.0,3.0,Hp,8,512,Silver,Amd
193,78100.0,4.5,Lenovo,16,512,Gray,Intel
194,66990.0,4.1,Asus,16,512,Blue,Intel
195,93990.0,4.0,Hp,16,512,Silver,Intel
196,93990.0,5.0,Hp,16,512,Unknown,Intel
197,69990.0,3.2,Hp,16,512,Silver,Snapdragon
198,342490.0,4.6,Apple,24,2048,Silver,Unknown
199,194990.0,4.8,Apple,24,1024,Unknown,Unknown
200,89890.0,3.7,Lenovo,16,512,Gray,Intel
201,87990.0,4.7,Asus,4,512,Black,Amd
202,64390.0,3.8,Acer,16,512,Silver,Intel
203,73990.0,4.7,Apple,8,256,Silver,Unknown
204,45999.0,3.9,Lenovo,8,512,Silver,Amd
205,51790.0,3.4,Dell,16,512,Black,Amd
206,68490.0,3.9,Lenovo,16,512,Gray,Amd
207,342490.0,4.5,Apple,24,1024,Silver,Unknown
